id,source,file,type,bytes,pages,words,extraction_status,content_category,primary_pillar,secondary_pillars,topics,recommended_use,priority,sensitivity,verification,duplicate_group,notes,sha256
SRC-026,content-audit/01_rozbaleno/TK2603-0395/Zápis 13_21.12.2011.pdf,Zápis 13_21.12.2011.pdf,pdf,179165,6,2925,extracted,Důkazní dokument,Dokumenty a důkazy,Vysvětlujeme,historie obce; rozhodování zastupitelstva,"Zdroj pro časovou osu, fact-check nebo přílohu článku",P2,interní pracovní podklad,"Ověřit relevantní body, datum, usnesení a kontext před citací",,PDF zápisu; nepublikovat bez vysvětlujícího kontextu,ae4f220676751c0724be74f764ffd0f89b3a2ae8358cdac6aff0a40209d99c94
SRC-027,content-audit/01_rozbaleno/TK2603-0395/Zápis 2_13.03.2012.pdf,Zápis 2_13.03.2012.pdf,pdf,164652,9,3266,extracted,Důkazní dokument,Dokumenty a důkazy,Vysvětlujeme,historie obce; rozhodování zastupitelstva,"Zdroj pro časovou osu, fact-check nebo přílohu článku",P2,interní pracovní podklad,"Ověřit relevantní body, datum, usnesení a kontext před citací",,PDF zápisu; nepublikovat bez vysvětlujícího kontextu,7bc3d98ac9d363048b550e33b492c6314662405ad9bc7295c3ae229d49a681a5
SRC-028,content-audit/01_rozbaleno/TK2603-0395/Zápis 7_24.9.2014.pdf,Zápis 7_24.9.2014.pdf,pdf,220622,15,6125,extracted,Důkazní dokument,Dokumenty a důkazy,Vysvětlujeme,historie obce; rozhodování zastupitelstva,"Zdroj pro časovou osu, fact-check nebo přílohu článku",P2,interní pracovní podklad,"Ověřit relevantní body, datum, usnesení a kontext před citací",,PDF zápisu; nepublikovat bez vysvětlujícího kontextu,8ca4efeff6ecf8e8b5fb2c24bc56b44c043154422a5cd509716da8467d06c1df
SRC-029,content-audit/01_rozbaleno/TK2603-0395/Zápis 9_12.11.2011.pdf,Zápis 9_12.11.2011.pdf,pdf,127063,5,1652,extracted,Důkazní dokument,Dokumenty a důkazy,Vysvětlujeme,historie obce; rozhodování zastupitelstva,"Zdroj pro časovou osu, fact-check nebo přílohu článku",P2,interní pracovní podklad,"Ověřit relevantní body, datum, usnesení a kontext před citací",,PDF zápisu; nepublikovat bez vysvětlujícího kontextu,781578bc76bd0d96830dce8a1b901f326b5491bb30ae26abb14210e9c1b3e1c7
SRC-030,content-audit/01_rozbaleno/TK2603-0395/dk4a_zapis-7-11.pdf,dk4a_zapis-7-11.pdf,pdf,115670,4,1678,extracted,Důkazní dokument,Dokumenty a důkazy,Vysvětlujeme,historie obce; rozhodování zastupitelstva,"Zdroj pro časovou osu, fact-check nebo přílohu článku",P2,interní pracovní podklad,"Ověřit relevantní body, datum, usnesení a kontext před citací",binary-74ceedfec1,PDF zápisu; nepublikovat bez vysvětlujícího kontextu,74ceedfec1cfac8cd07d7a23ccf823a17915a6bff6123edbeeb74b65fc17a123
SRC-031,content-audit/01_rozbaleno/TK2603-0395/dx2b_zapis-6-2014-2.pdf,dx2b_zapis-6-2014-2.pdf,pdf,112222,12,4747,extracted,Důkazní dokument,Dokumenty a důkazy,Vysvětlujeme,historie obce; rozhodování zastupitelstva,"Zdroj pro časovou osu, fact-check nebo přílohu článku",P2,interní pracovní podklad,"Ověřit relevantní body, datum, usnesení a kontext před citací",same-text-dx2b-2014,PDF zápisu; nepublikovat bez vysvětlujícího kontextu,07925ba995d70caf29e1a82493027e8a6e65d164ddedb3dfe1cfd9a785a9359e
SRC-032,content-audit/01_rozbaleno/TK2603-0395/dx2b_zapis-6-2014-3.pdf,dx2b_zapis-6-2014-3.pdf,pdf,112222,12,4747,extracted,Důkazní dokument,Dokumenty a důkazy,Vysvětlujeme,historie obce; rozhodování zastupitelstva,"Zdroj pro časovou osu, fact-check nebo přílohu článku",P2,interní pracovní podklad,"Ověřit relevantní body, datum, usnesení a kontext před citací",same-text-dx2b-2014,PDF zápisu; nepublikovat bez vysvětlujícího kontextu,498caca9a5c80ec347d482bd648936f2956fbf2d0404c1ff8400668a0fdb1ac5
SRC-033,content-audit/01_rozbaleno/TK2603-0395/f1kl_zapis-8-2012.pdf,f1kl_zapis-8-2012.pdf,pdf,129341,5,1744,extracted,Důkazní dokument,Dokumenty a důkazy,Vysvětlujeme,historie obce; rozhodování zastupitelstva,"Zdroj pro časovou osu, fact-check nebo přílohu článku",P2,interní pracovní podklad,"Ověřit relevantní body, datum, usnesení a kontext před citací",,PDF zápisu; nepublikovat bez vysvětlujícího kontextu,7fb98b23b471bae03eb648429f8cf583321f22afa641805869fca26a06b787de
SRC-034,content-audit/01_rozbaleno/TK2603-0395/h4v8_zapis-4-2013.pdf,h4v8_zapis-4-2013.pdf,pdf,188286,10,4096,extracted,Důkazní dokument,Dokumenty a důkazy,Vysvětlujeme,historie obce; rozhodování zastupitelstva,"Zdroj pro časovou osu, fact-check nebo přílohu článku",P2,interní pracovní podklad,"Ověřit relevantní body, datum, usnesení a kontext před citací",,PDF zápisu; nepublikovat bez vysvětlujícího kontextu,352dca500c5ada580f357febd4fbe41519955208afa97ea8d0629dfcb8924dbb
SRC-035,content-audit/01_rozbaleno/TK2603-0395/ldke_zapis-5-2014.pdf,ldke_zapis-5-2014.pdf,pdf,207202,12,4826,extracted,Důkazní dokument,Dokumenty a důkazy,Vysvětlujeme,historie obce; rozhodování zastupitelstva,"Zdroj pro časovou osu, fact-check nebo přílohu článku",P2,interní pracovní podklad,"Ověřit relevantní body, datum, usnesení a kontext před citací",,PDF zápisu; nepublikovat bez vysvětlujícího kontextu,cbf6e5598f555ae964a0453b7f3fd71db47cf66a2a7b9a8fa0c8e6703f4003c4
SRC-036,content-audit/01_rozbaleno/TK2603-0395/lx6m_zapis-4-12.pdf,lx6m_zapis-4-12.pdf,pdf,159013,8,3295,extracted,Důkazní dokument,Dokumenty a důkazy,Vysvětlujeme,historie obce; rozhodování zastupitelstva,"Zdroj pro časovou osu, fact-check nebo přílohu článku",P2,interní pracovní podklad,"Ověřit relevantní body, datum, usnesení a kontext před citací",,PDF zápisu; nepublikovat bez vysvětlujícího kontextu,818a20285e0eb0048f8437f5a0cba0b61b99d995216e5068e7fd984b9a08cdbb
SRC-037,content-audit/01_rozbaleno/TK2603-0395/q5oq_zapis-12-2013.pdf,q5oq_zapis-12-2013.pdf,pdf,163236,12,3684,extracted,Důkazní dokument,Dokumenty a důkazy,Vysvětlujeme,historie obce; rozhodování zastupitelstva,"Zdroj pro časovou osu, fact-check nebo přílohu článku",P2,interní pracovní podklad,"Ověřit relevantní body, datum, usnesení a kontext před citací",,PDF zápisu; nepublikovat bez vysvětlujícího kontextu,08eae54d2632b27070649f7b0b6d2a759d8aec730dd826d7cc936ee1c0e4b829
SRC-038,content-audit/01_rozbaleno/TK2603-0395/r2ap_zapis-1-13.pdf,r2ap_zapis-1-13.pdf,pdf,113960,8,3457,extracted,Důkazní dokument,Dokumenty a důkazy,Vysvětlujeme,historie obce; rozhodování zastupitelstva,"Zdroj pro časovou osu, fact-check nebo přílohu článku",P2,interní pracovní podklad,"Ověřit relevantní body, datum, usnesení a kontext před citací",,PDF zápisu; nepublikovat bez vysvětlujícího kontextu,ea6abcd436d9a1ab459d09f3b4bf8a4a77e9305bcc6453dc76ea2c615db9c45e
SRC-039,content-audit/01_rozbaleno/TK2603-0395/rb6p_zapis-9-12-1.pdf,rb6p_zapis-9-12-1.pdf,pdf,155319,7,2722,extracted,Důkazní dokument,Dokumenty a důkazy,Vysvětlujeme,historie obce; rozhodování zastupitelstva,"Zdroj pro časovou osu, fact-check nebo přílohu článku",P2,interní pracovní podklad,"Ověřit relevantní body, datum, usnesení a kontext před citací",,PDF zápisu; nepublikovat bez vysvětlujícího kontextu,ef509cfe3c6592fc8ac27e65d3e4fbdc8a7b37eb9ee11d8c5bfd774f8ac4c881
SRC-040,content-audit/01_rozbaleno/TK2603-0395/shk6_zapis-5-2013.pdf,shk6_zapis-5-2013.pdf,pdf,174078,9,3641,extracted,Důkazní dokument,Dokumenty a důkazy,Vysvětlujeme,historie obce; rozhodování zastupitelstva,"Zdroj pro časovou osu, fact-check nebo přílohu článku",P2,interní pracovní podklad,"Ověřit relevantní body, datum, usnesení a kontext před citací",,PDF zápisu; nepublikovat bez vysvětlujícího kontextu,9c7e62887caf7d3cb937df3dd82ce422acb47e32c7cda377364e157d11585d25
SRC-041,content-audit/01_rozbaleno/TK2603-0395/tryl_zapis-8-11.pdf,tryl_zapis-8-11.pdf,pdf,93977,2,447,extracted,Důkazní dokument,Dokumenty a důkazy,Vysvětlujeme,historie obce; rozhodování zastupitelstva,"Zdroj pro časovou osu, fact-check nebo přílohu článku",P2,interní pracovní podklad,"Ověřit relevantní body, datum, usnesení a kontext před citací",,PDF zápisu; nepublikovat bez vysvětlujícího kontextu,007c67a3a8c3c8a010bab5239bd95cdc968ef0145576d8021570e04272b83b59
SRC-042,content-audit/01_rozbaleno/TK2603-0395/zd26_zapis-3-2013.pdf,zd26_zapis-3-2013.pdf,pdf,152373,8,3246,extracted,Důkazní dokument,Dokumenty a důkazy,Vysvětlujeme,historie obce; rozhodování zastupitelstva,"Zdroj pro časovou osu, fact-check nebo přílohu článku",P2,interní pracovní podklad,"Ověřit relevantní body, datum, usnesení a kontext před citací",,PDF zápisu; nepublikovat bez vysvětlujícího kontextu,6786091ab6c6240712f9c38aab2b72b14eab426c1c5999523099d92c2881180e
